Designator,Mid X,Mid Y,Layer,Rotation
5VLED,92.50, 1.50,Top,90.0
13.75V,41.00, 2.00,Top,180.0
C1,22.50,69.00,Top,0.0
C2,35.00,69.00,Top,0.0
C3,45.88,70.88,Top,180.0
C4,158.13,65.63,Top,90.0
C5,163.38,65.63,Top,90.0
C8,15.80,68.10,Top,90.0
C9,15.43,31.50,Top,180.0
C10,19.88,31.13,Top,0.0
C11,15.88,24.50,Top,90.0
C12,22.50,23.00,Top,180.0
C13,35.00,23.00,Top,180.0
C14,35.25, 8.88,Top,90.0
C15,46.00, 9.00,Top,0.0
C16,55.00,14.50,Top,0.0
C17,73.10, 9.60,Top,90.0
C18,76.50, 7.88,Top,0.0
C19,81.50,12.13,Top,0.0
C20,85.50,14.13,Top,0.0
C21,90.13, 8.00,Top,0.0
C22,96.00,10.00,Top,0.0
C23,96.00, 8.75,Top,0.0
C24,100.50,10.00,Top,90.0
C25, 6.00, 3.00,Top,90.0
C26,11.93, 1.00,Top,0.0
C27,13.00, 4.50,Top,90.0
C28,22.38, 1.88,Top,90.0
C29,24.13, 1.88,Top,90.0
C30,25.88, 1.88,Top,90.0
C31,43.00, 6.75,Top,90.0
C32,55.00, 5.50,Top,270.0
C33,72.50, 3.13,Top,90.0
C34,87.38, 1.75,Top,180.0
C35,100.50, 6.00,Top,270.0
C36,49.38,18.50,Top,180.0
D1,94.50,55.00,Top,180.0
D2,109.00,55.50,Top,0.0
D3,94.50,36.00,Top,0.0
D4,109.00,35.50,Top,180.0
D5,10.00, 8.50,Top,180.0
D6,74.50,17.00,Top,180.0
D7,83.00,17.00,Top,180.0
D8,47.00, 1.00,Top,180.0
D9,52.50, 1.00,Top,180.0
D10,53.13,70.75,Top,0.0
D11,57.00,22.00,Top,0.0
GATE1_TP,25.50,58.00,Top,0.0
GATE2_TP,26.50,44.00,Top,90.0
HVLED,164.00,15.00,Top,180.0
IC1,16.00,35.00,Top,0.0
IC2,46.00,12.50,Top,180.0
IC3,84.88,11.63,Top,0.0
IC4,10.50, 4.00,Top,270.0
IC5,76.50, 4.00,Top,270.0
L2,92.00,14.25,Top,90.0
L3,17.50, 5.75,Top,0.0
OPT1,63.50,16.38,Top,180.0
PS1,63.38, 7.00,Top,0.0
Q1,34.88,53.13,Top,270.0
Q2,34.88,39.13,Top,270.0
R2,21.50,58.60,Top,0.0
R3,21.50,55.60,Top,0.0
R4,11.63,36.83,Top,270.0
R5,19.56,44.63,Top,0.0
R6,19.56,40.00,Top,0.0
R7,20.80,33.70,Top,90.0
R8,22.80,33.70,Top,90.0
R9,27.50, 8.00,Top,0.0
R10,30.50, 8.00,Top,0.0
R11,44.00,17.00,Top,180.0
R12,49.00, 7.50,Top,90.0
R13,53.50,12.50,Top,0.0
R14,55.00,16.50,Top,0.0
R15,71.40,11.40,Top,270.0
R16,75.88,11.25,Top,270.0
R17,77.88,11.25,Top,270.0
R18,81.50,10.63,Top,0.0
R19,82.13,13.63,Top,90.0
R20,87.50,10.88,Top,270.0
R21,105.00, 7.10,Top,90.0
R22,106.00,12.00,Top,0.0
R23,112.50,12.00,Top,180.0
R24,118.50,12.00,Top,180.0
R25,124.50,12.00,Top,180.0
R26,133.00,12.00,Top,180.0
R27,138.50,12.00,Top,180.0
R28,144.00,12.00,Top,180.0
R29,149.50,12.00,Top,180.0
R30,155.00,12.00,Top,180.0
R31, 6.50, 5.50,Top,180.0
R32, 7.10, 3.10,Top,270.0
R33, 8.18, 3.10,Top,270.0
R34,43.00, 1.70,Top,270.0
R35,72.50, 6.50,Top,90.0
R36,91.50, 4.50,Top,270.0
R37,45.63,75.38,Top,180.0
R38,48.00,22.00,Top,180.0
VR1,33.75, 3.63,Top,270.0
VR2,98.00, 6.00,Top,90.0
Z3,86.75, 4.50,Top,180.0
